account_internal_id,hashedAccNo,account_type,bank_name,home_city,home_state,account_balance
ACCT_00000062,f97a0bf0eee33253,Normal,Axis Bank,Patna,Bihar,1903.91
ACCT_00000063,c47aaafc21c97ffc,Victim,ICICI Bank,Jaipur,Rajasthan,18664.88
ACCT_00000064,d7ec8b668c94a30d,Normal,Canara Bank,Punahana,Haryana,2260.44
ACCT_00000065,57fe057ffee98f3b,Normal,HDFC Bank,Deoghar,Jharkhand,25224.95
ACCT_00000066,44d8aedb1bdb17a9,Normal,HDFC Bank,Deoghar,Jharkhand,7187.36
ACCT_00000067,2894666ecd623304,Normal,State Bank of India,Patna,Bihar,11431.49
ACCT_00000068,97caad3f58651075,Normal,HDFC Bank,Jaipur,Rajasthan,38493.42
ACCT_00000069,c37fbf6e925762ff,Normal,State Bank of India,Kolkata,West Bengal,7127.45
ACCT_00000070,6b33076aacfe4c5f,Normal,State Bank of India,Jaipur,Rajasthan,2543.98
ACCT_00000071,28a57df4e04a39de,Normal,Union Bank of India,Deoghar,Jharkhand,2215.84
ACCT_00000072,1102be960e7ad161,Normal,Punjab National Bank,Dhanbad,Jharkhand,16562.75
ACCT_00000073,a306ea70fd9b4be3,Normal,Punjab National Bank,Bharatpur,Rajasthan,25083.03
ACCT_00000074,d0c5c7b26be8e941,Normal,Canara Bank,Kaman,Rajasthan,12205.04
ACCT_00000075,6320f3246e5a8588,Normal,Canara Bank,Dumka,Jharkhand,36343.48
ACCT_00000076,36ec59985c7a9dcc,Normal,ICICI Bank,Alwar,Rajasthan,25039.54
ACCT_00000077,3475404de864bc56,Normal,ICICI Bank,Nalanda,Bihar,6305.95
ACCT_00000078,8ed2221caaeb1d6c,Normal,HDFC Bank,Bharatpur,Rajasthan,171241.7
ACCT_00000079,78ece81506379260,Normal,ICICI Bank,Deoghar,Jharkhand,9090.8
ACCT_00000080,33af9a5182e9eb98,Normal,HDFC Bank,Kolkata,West Bengal,28444.68
ACCT_00000081,16c9b60514fa0b66,Mule_L1,HDFC Bank,Kolkata,West Bengal,36460.88
ACCT_00000082,e76ab3982e02dd8d,Normal,Union Bank of India,Delhi,Delhi,1438.27
ACCT_00000083,ae4dcd7d135217f2,Victim,ICICI Bank,Alwar,Rajasthan,52704.86
ACCT_00000084,e1683146844c5777,Normal,Punjab National Bank,Delhi,Delhi,2972.27
ACCT_00000085,1d31cb613aaf300e,Normal,Axis Bank,Nalanda,Bihar,16045.07
ACCT_00000086,4d406314de8e8151,Normal,State Bank of India,Punahana,Haryana,5639.89
ACCT_00000087,1b404771d467e520,Normal,HDFC Bank,Deoghar,Jharkhand,12526.48
ACCT_00000088,23b378de0183b494,Normal,ICICI Bank,Dhanbad,Jharkhand,613.31
ACCT_00000089,fb9b8c8c639e231c,Normal,Kotak Mahindra Bank,Punahana,Haryana,6398.55
ACCT_00000090,0cd5d00181f60465,Normal,ICICI Bank,Kaman,Rajasthan,7371.86
ACCT_00000091,7d015ad206eff26b,Normal,ICICI Bank,Bardhaman,West Bengal,32864.31
ACCT_00000092,4d55b31bc04e22c4,Normal,Punjab National Bank,Bardhaman,West Bengal,17929.59
ACCT_00000093,e6087398cd36c9db,Normal,ICICI Bank,Patna,Bihar,1850.48
ACCT_00000094,4dd17823f133609c,Normal,ICICI Bank,Alwar,Rajasthan,7596.23
ACCT_00000095,760af37885bf35fc,Mule_L1,Axis Bank,Bharatpur,Rajasthan,20744.26
ACCT_00000096,7a8fff8cb6e0a5fc,Normal,Bank of Baroda,Kolkata,West Bengal,46981.85
ACCT_00000097,a792d22d81db0a03,Normal,Bank of Baroda,Nalanda,Bihar,13928.27
ACCT_00000098,069f874d191bfeb0,Normal,Axis Bank,Kolkata,West Bengal,2421.46
ACCT_00000099,b0f0c55cbd98e4aa,Normal,State Bank of India,Jaipur,Rajasthan,11983.26
ACCT_00000100,f1ee6424f23286f4,Normal,Canara Bank,Howrah,West Bengal,20671.38
ACCT_00000101,33ab55c7a4101ff8,Normal,ICICI Bank,Delhi,Delhi,5843.07
ACCT_00000102,837ca07836834bb5,Normal,State Bank of India,Howrah,West Bengal,8913.26
ACCT_00000103,659aa9a7c6e68818,Normal,Canara Bank,Dumka,Jharkhand,12920.43
ACCT_00000104,20a79d4967ef43f6,Normal,State Bank of India,Mathura,Uttar Pradesh,2768.93
ACCT_00000105,2e9b593e6cd9728b,Normal,Canara Bank,Punahana,Haryana,8067.24
ACCT_00000106,aa675eb5d7ef1dc4,Mule_L2,Axis Bank,Bardhaman,West Bengal,11724.27
ACCT_00000107,4322151ea25aff8b,Normal,ICICI Bank,Patna,Bihar,4871.02
ACCT_00000108,3c87a42916baabf3,Normal,State Bank of India,Bharatpur,Rajasthan,7836.78
ACCT_00000109,06f88528fa92b0e4,Mule_L1,ICICI Bank,Kolkata,West Bengal,17294.53
ACCT_00000110,366d542eb2ef5261,Normal,HDFC Bank,Patna,Bihar,7185.76
ACCT_00000111,d1e26ec9c301765b,Normal,Kotak Mahindra Bank,Agra,Uttar Pradesh,20378.81
ACCT_00000112,9f7ba03e50b434d0,Normal,State Bank of India,Patna,Bihar,16543.07
ACCT_00000113,b55b959491725d9a,Mule_L1,HDFC Bank,Patna,Bihar,42881.58
ACCT_00000114,c03d291651c2f0ec,Normal,Punjab National Bank,Kaman,Rajasthan,3424.93
ACCT_00000115,2dbc69aa513e613b,Normal,State Bank of India,Kolkata,West Bengal,9790.57
ACCT_00000116,994e6ac5f81376c6,Normal,IndusInd Bank,Alwar,Rajasthan,16056.08
ACCT_00000117,0a7810ec4689d4f0,Normal,ICICI Bank,Kolkata,West Bengal,2416.43
ACCT_00000118,cb5b327009c14d2a,Mule_L3,State Bank of India,Bardhaman,West Bengal,32444.58
ACCT_00000119,b95ca67d689f4df7,Normal,Punjab National Bank,Nalanda,Bihar,4810.74
ACCT_00000120,3566b946370e1674,Normal,Bank of Baroda,Deoghar,Jharkhand,2554.75
ACCT_00000121,d3f3d6736fc15cdf,Normal,Union Bank of India,Punahana,Haryana,15222.34
ACCT_00000122,0ded31224c22ec7c,Normal,HDFC Bank,Patna,Bihar,47633.9
ACCT_00000123,514ea36d2161c1fe,Normal,State Bank of India,Delhi,Delhi,13968.71
ACCT_00000124,b9328e37efcda8b2,Normal,ICICI Bank,Alwar,Rajasthan,4190.73
ACCT_00000125,4c7c3b5c9d569a86,Normal,Axis Bank,Patna,Bihar,4151.58
ACCT_00000126,d8193539dc246aba,Normal,ICICI Bank,Deoghar,Jharkhand,13951.49
ACCT_00000127,e105ff0765ae6cb5,Victim,Kotak Mahindra Bank,Delhi,Delhi,39497.79
ACCT_00000128,6608040ec414dc6c,Normal,Bank of Baroda,Bardhaman,West Bengal,33614.55
ACCT_00000129,7850cd9c43b1dfb2,Normal,Bank of Baroda,Delhi,Delhi,21587.98
ACCT_00000130,4206113e6995e022,Normal,HDFC Bank,Delhi,Delhi,15775.75
ACCT_00000131,4c7be1f0c4891e89,Mule_L1,HDFC Bank,Dumka,Jharkhand,9221.1
ACCT_00000132,cd3ee8b58d015028,Normal,ICICI Bank,Patna,Bihar,16446.07
ACCT_00000133,59d4daa0b559e240,Normal,Union Bank of India,Dumka,Jharkhand,16572.63
ACCT_00000134,37e35513c2fe1b23,Normal,Axis Bank,Nalanda,Bihar,2613.64
ACCT_00000135,51e69afd16f411a3,Normal,Canara Bank,Patna,Bihar,39979.33
ACCT_00000136,c67553a2b8991a44,Normal,HDFC Bank,Nalanda,Bihar,188273.43
ACCT_00000137,80936fb317faf415,Normal,HDFC Bank,Punahana,Haryana,5963.05
ACCT_00000138,403825e821d0f31a,Normal,State Bank of India,Bardhaman,West Bengal,3705.34
ACCT_00000139,594703d271cdcf6d,Normal,State Bank of India,Alwar,Rajasthan,20983.99
ACCT_00000140,69de3683acfc9e73,Normal,State Bank of India,Mathura,Uttar Pradesh,5658.55
ACCT_00000141,cb0cf6a51db126ed,Normal,HDFC Bank,Dumka,Jharkhand,39286.84
ACCT_00000142,fa3f058629853922,Normal,Punjab National Bank,Alwar,Rajasthan,500.0
ACCT_00000143,45aafe5f0a6d3ee9,Normal,State Bank of India,Kaman,Rajasthan,23634.22
ACCT_00000144,d8a6a433523f9bd9,Normal,Kotak Mahindra Bank,Delhi,Delhi,11949.68
ACCT_00000145,50dc0c2e0a99df9b,Normal,Kotak Mahindra Bank,Delhi,Delhi,13686.61
ACCT_00000146,7de858f55786c941,Normal,State Bank of India,Bharatpur,Rajasthan,12561.98
ACCT_00000147,1f54f6d44057e690,Normal,Canara Bank,Delhi,Delhi,29069.21
ACCT_00000148,0f788a9e1f12fef3,Normal,Canara Bank,Delhi,Delhi,3636.77
ACCT_00000149,a09d14860599efc9,Normal,HDFC Bank,Kolkata,West Bengal,14564.37
ACCT_00000150,d88d401426ac8f9f,Normal,Canara Bank,Dumka,Jharkhand,5876.58
ACCT_00000151,ae5d52c119a35159,Normal,ICICI Bank,Patna,Bihar,8345.1
ACCT_00000152,9a3f0fbb0a2be981,Normal,ICICI Bank,Mathura,Uttar Pradesh,1023.7
ACCT_00000153,0dcdce1c956549f4,Normal,Punjab National Bank,Jaipur,Rajasthan,23473.36
ACCT_00000154,8c06ac52e33cbcfd,Normal,State Bank of India,Punahana,Haryana,9724.41
ACCT_00000155,fe830f0d8bfa680c,Normal,ICICI Bank,Kaman,Rajasthan,12076.48
ACCT_00000156,c994eee7fe4a48b8,Normal,HDFC Bank,Dumka,Jharkhand,6217.52
ACCT_00000157,825a28e214a098f8,Normal,Axis Bank,Bharatpur,Rajasthan,67397.05
ACCT_00000158,b16bf50938d6eab8,Normal,ICICI Bank,Bharatpur,Rajasthan,26037.94
ACCT_00000159,540792d44026680a,Normal,State Bank of India,Howrah,West Bengal,23548.61
ACCT_00000160,2d69b5dafe4b116d,Normal,Punjab National Bank,Deoghar,Jharkhand,46815.66
ACCT_00000161,3b99759eb8221e0e,Victim,ICICI Bank,Deoghar,Jharkhand,37066.62
ACCT_00000162,8541639793c47e60,Normal,HDFC Bank,Delhi,Delhi,12021.83
ACCT_00000163,2f082f12c47c4814,Normal,Axis Bank,Nalanda,Bihar,6466.58
ACCT_00000164,97a87a54b2be2a0e,Normal,IndusInd Bank,Jaipur,Rajasthan,109042.37
ACCT_00000165,b73f0900e3ca4537,Normal,State Bank of India,Bharatpur,Rajasthan,45679.12
ACCT_00000166,da6d3acf77ee7965,Normal,ICICI Bank,Agra,Uttar Pradesh,12207.07
ACCT_00000167,81e55c6356857fb3,Normal,ICICI Bank,Kolkata,West Bengal,4588.92
ACCT_00000168,5ae80e72495fa3e4,Normal,Punjab National Bank,Deoghar,Jharkhand,43628.39
ACCT_00000169,79a89c9c76125eb1,Normal,State Bank of India,Kolkata,West Bengal,85183.27
ACCT_00000170,80baf9d92c3ff274,Normal,Punjab National Bank,Alwar,Rajasthan,13219.62
ACCT_00000171,1a999cb5eeba454e,Normal,State Bank of India,Bardhaman,West Bengal,12234.96
ACCT_00000172,1376bca79b0f8d68,Normal,HDFC Bank,Delhi,Delhi,5881.88
ACCT_00000173,029d840478c343cd,Normal,Axis Bank,Dhanbad,Jharkhand,4657.47
ACCT_00000174,f207cdb9b62b6872,Normal,HDFC Bank,Punahana,Haryana,22686.22
ACCT_00000175,757c45c1be008bbf,Normal,Union Bank of India,Patna,Bihar,2099.84
ACCT_00000176,fd3d3fb99d306530,Normal,State Bank of India,Kaman,Rajasthan,7439.88
ACCT_00000177,38bbf1c3dc5d89e0,Normal,HDFC Bank,Kolkata,West Bengal,2035.01
ACCT_00000178,d01ce6fc6de735c5,Normal,Axis Bank,Patna,Bihar,27578.09
ACCT_00000179,889441474ddf888b,Normal,ICICI Bank,Kolkata,West Bengal,17280.5
ACCT_00000180,81498532c7f59ed1,Normal,State Bank of India,Dhanbad,Jharkhand,6295.78
ACCT_00000181,c659d2aeb3d17f4e,Normal,ICICI Bank,Patna,Bihar,57781.5
ACCT_00000182,00d8794ad98bde7f,Normal,State Bank of India,Kaman,Rajasthan,134275.04
ACCT_00000183,483c09a07d4f28e8,Normal,State Bank of India,Alwar,Rajasthan,753.39
ACCT_00000184,3a2cc767a863c260,Mule_L3,State Bank of India,Nalanda,Bihar,11844.93
ACCT_00000185,016c912322a34544,Normal,State Bank of India,Delhi,Delhi,500.0
ACCT_00000186,18a32881dbba0304,Normal,Kotak Mahindra Bank,Kolkata,West Bengal,2196.3
ACCT_00000187,b39542161638efe7,Normal,Bank of Baroda,Patna,Bihar,80384.43
ACCT_00000188,776a2f578068fa81,Normal,Punjab National Bank,Alwar,Rajasthan,44151.36
ACCT_00000189,def4979786386e71,Normal,State Bank of India,Agra,Uttar Pradesh,1525.0
ACCT_00000190,43cd6d3cec399aa0,Victim,ICICI Bank,Alwar,Rajasthan,4810.31
ACCT_00000191,2fffe980bfb17904,Normal,HDFC Bank,Delhi,Delhi,5881.1
ACCT_00000192,f952ce015c441ad4,Normal,HDFC Bank,Kolkata,West Bengal,22863.06
ACCT_00000193,f139661ece964214,Normal,HDFC Bank,Alwar,Rajasthan,3178.58
ACCT_00000194,3dcf0b71a93bf54c,Normal,Punjab National Bank,Kaman,Rajasthan,7991.27
ACCT_00000195,052c5f41036fffd0,Normal,IndusInd Bank,Gurgaon/Gurugram,Haryana,20736.24
ACCT_00000196,89d007d7eca95ba1,Mule_L1,Bank of Baroda,Jaipur,Rajasthan,8935.26
ACCT_00000197,ff83df40b27ec244,Normal,State Bank of India,Alwar,Rajasthan,8283.55
ACCT_00000198,1cbaeb8e4a2cfcc8,Normal,Axis Bank,Bharatpur,Rajasthan,39677.2
ACCT_00000199,4dbaef19606f6f4a,Normal,Union Bank of India,Bharatpur,Rajasthan,2317.87
ACCT_00000200,ab52565cccdfdca6,Normal,State Bank of India,Alwar,Rajasthan,68758.18
ACCT_00000201,e05d7dca9e57abfc,Normal,State Bank of India,Patna,Bihar,23089.27
ACCT_00000202,c078e4cdacf103bd,Normal,HDFC Bank,Patna,Bihar,6910.18
ACCT_00000203,b7705dd8225ffb4a,Normal,HDFC Bank,Dhanbad,Jharkhand,3497.56
ACCT_00000204,14e7ab3d16cdf88c,Normal,HDFC Bank,Dhanbad,Jharkhand,46343.32
ACCT_00000205,c39f12c7bdb25110,Normal,Kotak Mahindra Bank,Deoghar,Jharkhand,14252.36
ACCT_00000206,963abd52285949fb,Normal,Union Bank of India,Patna,Bihar,22085.77
ACCT_00000207,f59485d2be94e0f7,Normal,Canara Bank,Gurgaon/Gurugram,Haryana,152605.74
ACCT_00000208,a2d97b13b6ed30ec,Normal,HDFC Bank,Alwar,Rajasthan,24040.12
ACCT_00000209,ac6afdc0c96065b1,Normal,State Bank of India,Patna,Bihar,15562.16
ACCT_00000210,783eaa1a73e43205,Normal,State Bank of India,Alwar,Rajasthan,4060.88
ACCT_00000211,232e27c860a8604c,Normal,Punjab National Bank,Nalanda,Bihar,9585.0
ACCT_00000212,f4cffb17fa46990d,Normal,State Bank of India,Jaipur,Rajasthan,2022.04
ACCT_00000213,ec5e4b97057eaf21,Normal,State Bank of India,Nalanda,Bihar,10315.66
ACCT_00000214,9b033654d1cac054,Normal,State Bank of India,Dhanbad,Jharkhand,8898.02
ACCT_00000215,a57e00587a986b64,Normal,ICICI Bank,Jaipur,Rajasthan,77846.81
ACCT_00000216,ab3860aadf88f3af,Normal,Bank of Baroda,Punahana,Haryana,45376.92
ACCT_00000217,87c7b9815532a2fe,Mule_L1,Bank of Baroda,Bardhaman,West Bengal,50766.98
ACCT_00000218,d7808d9b90c41e14,Normal,IndusInd Bank,Delhi,Delhi,9916.94
ACCT_00000219,afda06a737b629e6,Normal,Axis Bank,Kaman,Rajasthan,2546.59
ACCT_00000220,92f7ca075d599399,Normal,State Bank of India,Dumka,Jharkhand,33841.56
ACCT_00000221,1d2228d207958921,Mule_L2,State Bank of India,Mathura,Uttar Pradesh,3373.55
ACCT_00000222,53aea93ac2883b70,Normal,Axis Bank,Delhi,Delhi,4468.72
ACCT_00000223,91a797e3b2ffe805,Normal,State Bank of India,Deoghar,Jharkhand,9868.07
ACCT_00000224,a9289c539194994b,Mule_L1,ICICI Bank,Kolkata,West Bengal,70271.43
ACCT_00000225,943b10ad182ce867,Normal,State Bank of India,Delhi,Delhi,24260.06
ACCT_00000226,9add2a471b6677c4,Normal,HDFC Bank,Patna,Bihar,7289.89
ACCT_00000227,1d0ace8bba5be813,Normal,IndusInd Bank,Nalanda,Bihar,7485.32
ACCT_00000228,520317e8016b7225,Normal,Canara Bank,Alwar,Rajasthan,54434.58
ACCT_00000229,58b81196d3b1abce,Normal,HDFC Bank,Kolkata,West Bengal,54007.43
ACCT_00000230,a09329619f49c5aa,Normal,State Bank of India,Delhi,Delhi,4506.12
ACCT_00000231,2493bc5f795f447a,Normal,Axis Bank,Nalanda,Bihar,8281.88
ACCT_00000232,7354831cdd23732e,Normal,IndusInd Bank,Agra,Uttar Pradesh,167880.12
ACCT_00000233,f98f3491cdcf0189,Normal,State Bank of India,Mathura,Uttar Pradesh,2392.27
ACCT_00000234,e71131802e389cef,Normal,ICICI Bank,Bharatpur,Rajasthan,6711.55
ACCT_00000235,b32c0c03947738d7,Normal,HDFC Bank,Dumka,Jharkhand,9594.7
ACCT_00000236,69ca825bd26de7d8,Normal,Punjab National Bank,Patna,Bihar,7017.34
ACCT_00000237,940d635fc29618c4,Normal,HDFC Bank,Patna,Bihar,4773.04
ACCT_00000238,96d4fd261343bb2a,Normal,Axis Bank,Delhi,Delhi,27688.54
ACCT_00000239,6efe0988014bc9a2,Normal,HDFC Bank,Kolkata,West Bengal,9174.98
ACCT_00000240,b6eff5c991adf0bb,Normal,State Bank of India,Alwar,Rajasthan,3031.41
ACCT_00000241,68897618297b9f89,Mule_L2,HDFC Bank,Delhi,Delhi,26376.39
ACCT_00000242,96a4c23e281dfa6c,Mule_L1,Punjab National Bank,Bardhaman,West Bengal,27562.68
ACCT_00000243,b28fe61e4846fd21,Normal,Punjab National Bank,Patna,Bihar,1018.67
ACCT_00000244,26e38684203b0dd3,Normal,State Bank of India,Deoghar,Jharkhand,306444.97
ACCT_00000245,e34309069a9ce1fe,Normal,HDFC Bank,Bharatpur,Rajasthan,48107.05
ACCT_00000246,c7e9abb16059a7c8,Normal,Punjab National Bank,Dumka,Jharkhand,733.2
ACCT_00000247,faa8e5af6c40016a,Normal,Union Bank of India,Deoghar,Jharkhand,311714.17
ACCT_00000248,c61f1736f1a95adf,Normal,HDFC Bank,Alwar,Rajasthan,45459.89
ACCT_00000249,0728166d0de1be91,Mule_L3,Axis Bank,Delhi,Delhi,33432.04
ACCT_00000250,ebdd87610194186a,Normal,Bank of Baroda,Delhi,Delhi,52201.41
ACCT_00000251,261fe8626c522bcf,Normal,Bank of Baroda,Jaipur,Rajasthan,2942.33
ACCT_00000252,db416cd779cc99ff,Normal,State Bank of India,Jaipur,Rajasthan,42076.88
ACCT_00000253,7ccdc64b2a5a8207,Normal,State Bank of India,Delhi,Delhi,15245.96
ACCT_00000254,d87755f9111e94b3,Normal,Axis Bank,Faridabad,Haryana,4525.39
ACCT_00000255,fb645301f48f3bf5,Victim,HDFC Bank,Kaman,Rajasthan,20598.22
ACCT_00000256,bf0938c0d5999770,Normal,ICICI Bank,Mathura,Uttar Pradesh,115323.7
ACCT_00000257,249e071749d537c5,Normal,State Bank of India,Alwar,Rajasthan,22836.75
ACCT_00000258,5de5c8a7349d7f43,Normal,Bank of Baroda,Delhi,Delhi,15183.29
ACCT_00000259,1d61dbab24a3a68a,Normal,State Bank of India,Alwar,Rajasthan,38901.8
ACCT_00000260,dacfd5b41aed6dd1,Normal,Union Bank of India,Delhi,Delhi,4614.24
ACCT_00000261,4084a9d59cd09768,Normal,HDFC Bank,Bharatpur,Rajasthan,19904.76
ACCT_00000262,885c1b23463d2e92,Normal,Axis Bank,Deoghar,Jharkhand,1963.85
ACCT_00000263,33537b48031424d2,Normal,Kotak Mahindra Bank,Kolkata,West Bengal,1642.4
ACCT_00000264,ef9d2f7e45a1e6c4,Normal,Bank of Baroda,Patna,Bihar,19995.67
ACCT_00000265,00dd6b61c0a36fa5,Normal,HDFC Bank,Punahana,Haryana,8496.02
ACCT_00000266,03b557d6b5cb925a,Normal,State Bank of India,Delhi,Delhi,46330.42
ACCT_00000267,5e915f8bb85dbca1,Normal,State Bank of India,Delhi,Delhi,7857.08
ACCT_00000268,c06e01f9d7c94a45,Normal,ICICI Bank,Bardhaman,West Bengal,5309.68
ACCT_00000269,77212d3b2d100aa5,Normal,Punjab National Bank,Patna,Bihar,25447.39
ACCT_00000270,482816d521d517e0,Normal,Axis Bank,Delhi,Delhi,13198.54
ACCT_00000271,65aab8d0b91c5024,Normal,Kotak Mahindra Bank,Alwar,Rajasthan,27103.2
ACCT_00000272,99c6a0a0f00d1def,Normal,State Bank of India,Kolkata,West Bengal,4513.64
ACCT_00000273,a8a7d596980e4389,Normal,Canara Bank,Deoghar,Jharkhand,28464.47
ACCT_00000274,530bd97ca78ca44b,Normal,State Bank of India,Bharatpur,Rajasthan,142745.91
ACCT_00000275,125324e1f9bab9d1,Normal,State Bank of India,Gurgaon/Gurugram,Haryana,13413.61
ACCT_00000276,09891eb248029de6,Normal,State Bank of India,Mathura,Uttar Pradesh,3587.15
ACCT_00000277,e6ccc3db5d36fd90,Mule_L1,Punjab National Bank,Alwar,Rajasthan,13048.5
ACCT_00000278,7c056db247ab9cf6,Normal,Kotak Mahindra Bank,Dhanbad,Jharkhand,42721.14
ACCT_00000279,402e5960ee55d66c,Normal,Punjab National Bank,Alwar,Rajasthan,2667.47
ACCT_00000280,3fe4f781e98a6f0b,Normal,HDFC Bank,Bharatpur,Rajasthan,6329.86
